domain,legitimacy_score,total_occurrences,in_spam,in_ham,sources,category
linux.ie,100,112,18,94,"from, urls",legitimate
sourceforge.net,100,477,183,294,"from, urls",legitimate
google.com,100,17,4,13,urls,legitimate
debian.org,100,2,1,1,from,legitimate
redhat.com,100,168,0,168,"from, urls",legitimate
kernel.org,100,1,0,1,,legitimate
linux.ieon,100,2,0,2,,legitimate
gnu.org,100,2,0,2,urls,legitimate
lists.sourceforge.neton,100,4,0,4,,legitimate
microsoft.com,100,16,0,16,urls,legitimate
jmason.org,90,21,10,11,urls,legitimate
upenn.edu,90,4,1,3,urls,legitimate
vt.edu,90,6,1,5,"from, urls",legitimate
spamassassin.org,90,31,1,30,urls,legitimate
tuatha.org,90,6,0,6,from,legitimate
ucla.edu,90,1,0,1,from,legitimate
fsf.org,90,2,0,2,urls,legitimate
barrera.org,90,71,0,71,from,legitimate
nologic.org,90,2,0,2,from,legitimate
acm.org,90,28,0,28,from,legitimate
topsail.org,90,8,0,8,from,legitimate
mozdev.org,90,3,0,3,urls,legitimate
purl.org,90,1,0,1,urls,legitimate
cas.org,90,2,0,2,from,legitimate
perl.org,90,58,0,58,"from, urls",legitimate
asile.org,90,1,0,1,urls,legitimate
fipr.org,90,1,0,1,urls,legitimate
bawug.org,90,1,0,1,urls,legitimate
mitre.org,90,1,0,1,urls,legitimate
berkeley.edu,90,13,0,13,"from, urls",legitimate
xvid.org,90,1,0,1,urls,legitimate
doom9.org,90,1,0,1,urls,legitimate
usdoj.gov,90,1,0,1,urls,legitimate
phpgroupware.org,90,14,0,14,urls,legitimate
firebirdsql.org,90,1,0,1,,legitimate
diveintomark.org,90,50,0,50,urls,legitimate
alertnet.org,90,2,0,2,urls,legitimate
zen.org,90,1,0,1,,legitimate
lbedford.org,90,1,0,1,from,legitimate
hughes-family.org,90,29,0,29,"from, urls",legitimate
caltech.edu,90,24,0,24,from,legitimate
r2-dvd.org,90,4,0,4,from,legitimate
poptech.org,90,3,0,3,urls,legitimate
linitx.org,90,1,0,1,urls,legitimate
memri.org,90,2,0,2,urls,legitimate
uspto.gov,90,3,0,3,urls,legitimate
jakma.org,90,1,0,1,,legitimate
gimp.org,90,2,0,2,from,legitimate
amavis.org,90,14,0,14,urls,legitimate
alsa-project.org,90,1,0,1,urls,legitimate
epic.org,90,1,0,1,urls,legitimate
privacyinternational.org,90,1,0,1,urls,legitimate
yourgroup.org,90,1,0,1,,legitimate
ucsc.edu,90,44,0,44,"from, urls",legitimate
tuxfamily.org,90,3,0,3,urls,legitimate
nessus.org,90,2,0,2,urls,legitimate
religioustolerance.org,90,2,0,2,urls,legitimate
missouri.edu,90,2,0,2,from,legitimate
leitl.org,90,39,0,39,"from, urls",legitimate
washington.edu,90,2,0,2,"from, urls",legitimate
homeport.org,90,1,0,1,from,legitimate
slashdot.org,90,16,0,16,urls,legitimate
enlightenment.org,90,1,0,1,urls,legitimate
eurekalert.org,90,2,0,2,urls,legitimate
dirksencenter.org,90,1,0,1,urls,legitimate
duke.edu,90,3,0,3,"from, urls",legitimate
agnula.org,90,1,0,1,urls,legitimate
umich.edu,90,3,0,3,urls,legitimate
